image_path,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g
train/ID1011485656.jpg,0.0,31.9984,16.2751,48.2735,16.275
train/ID1012260530.jpg,0.0,0.0,7.6,7.6,7.6
train/ID1025234388.jpg,6.05,0.0,0.0,6.05,6.05
train/ID1028611175.jpg,0.0,30.9703,24.2376,55.2079,24.2376
train/ID1035947949.jpg,0.4343,23.2239,10.5261,34.1844,10.9605
train/ID1036339023.jpg,23.0755,2.6135,32.191,57.88,55.2665
train/ID1049634115.jpg,1.5083,3.0167,13.575,18.1,15.0833
train/ID1051144034.jpg,55.32,0.0,0.0,55.32,55.32
train/ID1052620238.jpg,0.0,11.2291,20.1707,31.3998,20.1707
train/ID105271783.jpg,5.2698,8.5635,27.6667,41.5,32.9365
train/ID1053972079.jpg,21.0801,7.9393,1.3688,30.3882,22.4489
train/ID1058383417.jpg,0.1,9.5,13.1,22.7,13.2
train/ID1062837331.jpg,19.98,3.9623,35.4077,59.35,55.3877
train/ID1070112260.jpg,0.0,9.8765,22.1235,32.0,22.1235
train/ID1078930021.jpg,0.0,5.0189,32.9811,38.0,32.9811
train/ID1084819986.jpg,21.4551,13.0742,2.6819,37.2112,24.137
train/ID1088965591.jpg,0.0,0.3443,59.5557,59.9,59.5557
train/ID1098771283.jpg,8.376,15.1673,0.4528,23.9961,8.8287
train/ID1103883611.jpg,0.0,12.9166,82.7834,95.7,82.7834
train/ID1108283583.jpg,5.773,7.2162,40.4108,53.4,46.1838
train/ID1113121340.jpg,0.2931,11.6271,82.6598,94.58,82.9529
train/ID1113329413.jpg,20.6523,21.1112,1.3768,43.1403,22.0291
train/ID1119739385.jpg,0.0,3.0,6.8,9.8,6.8
train/ID1119761112.jpg,0.0,32.4486,22.9514,55.4,22.9514
train/ID1121692672.jpg,0.0,1.3958,109.8042,111.2,109.8042
train/ID1127246618.jpg,3.0196,25.8824,32.3529,61.2549,35.3725
train/ID112966473.jpg,11.2,2.8,19.6,33.6,30.8
train/ID1131079710.jpg,15.4794,11.119,1.5261,28.1246,17.0055
train/ID1136169672.jpg,0.0,6.808,16.3107,23.1187,16.3108
train/ID1139866256.jpg,0.0,83.8407,74.0593,157.9,74.0593
train/ID1139918758.jpg,58.34,0.0,0.0,58.34,58.34
train/ID1140993511.jpg,4.6,2.3,16.1,23.0,20.7
train/ID1148528732.jpg,12.4113,0.0,28.0887,40.5,40.5
train/ID1148666289.jpg,4.0923,14.3231,21.4846,39.9,25.5769
train/ID1149598723.jpg,0.0,5.3831,58.3169,63.7,58.3169
train/ID1159071020.jpg,1.3191,6.7982,46.5727,54.69,47.8918
train/ID1163061745.jpg,5.2,6.7,1.2,13.1,6.4
train/ID1168534540.jpg,0.0,8.6892,55.6108,64.3,55.6108
train/ID1176292407.jpg,0.1308,16.7365,9.022,25.8893,9.1528
train/ID1182523622.jpg,3.1059,14.7193,0.6752,18.5004,3.7811
train/ID1183807388.jpg,0.0,20.9156,20.9156,41.8312,20.9156
train/ID1193692654.jpg,0.2727,6.3317,13.4232,20.0276,13.6959
train/ID1199150612.jpg,0.3602,40.7019,27.0146,68.0767,27.3748
train/ID1208644039.jpg,1.55,7.75,31.0,40.3,32.55
train/ID1211362607.jpg,0.0,1.3446,66.5554,67.9,66.5554
train/ID121331988.jpg,0.0,21.05,63.15,84.2,63.15
train/ID1215977190.jpg,0.4068,24.8123,30.1002,55.3193,30.507
train/ID1217108125.jpg,5.9027,8.0594,0.6811,14.6432,6.5838
train/ID1237349078.jpg,3.189,26.221,9.39,38.8,12.579
train/ID12390962.jpg,0.0,15.2,14.0,29.2,14.0
train/ID1244346858.jpg,0.0,30.9343,49.2657,80.2,49.2657
train/ID1249094008.jpg,0.0,16.3603,4.5809,20.9412,4.5809
train/ID1251029854.jpg,0.0,22.0875,36.8125,58.9,36.8125
train/ID1254829053.jpg,0.0,10.2162,4.2568,14.473,4.2568
train/ID1268934251.jpg,0.0,24.7869,17.2131,42.0,17.2131
train/ID1275072698.jpg,0.0,2.5,62.0,64.5,62.0
train/ID1277756619.jpg,0.0,3.2,6.0,9.2,6.0
train/ID1291116815.jpg,1.24,3.72,19.84,24.8,21.08
